trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
376,False,"{'a': 0.3, 'e': 0.022847209744950314}",20,16,8.699344416601239,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.3, 'e': 0.02261873764750081}",20,7,23.773351569933055,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.3, 'e': 0.022392550271025803}",30,13,32.71296284419816,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.3, 'e': 0.022168624768315544}",25,11,26.653430733368253,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.3, 'e': 0.02194693852063239}",35,21,23.068984329064133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.3, 'e': 0.021727469135426065}",30,18,20.993805353003545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.3, 'e': 0.021510194444071803}",20,16,9.829451566413459,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.3, 'e': 0.021295092499631085}",25,14,20.888863022385923,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.3, 'e': 0.021082141574634772}",25,14,19.324390114526768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.3, 'e': 0.020871320158888425}",20,14,11.374477643472634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.3, 'e': 0.020662606957299542}",25,13,12.198801876914127,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
387,False,"{'a': 0.3, 'e': 0.020455980887726547}",20,14,11.629448322077696,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.3, 'e': 0.02025142107884928}",25,19,11.226987733369544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.3, 'e': 0.020048906868060788}",25,10,25.78026548362254,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.3, 'e': 0.01984841779938018}",25,9,30.501386146267418,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
